PersonCode	User_id	TripNrOverall	TripNrPerPerson	Date	Starttime	Endtime	Transportmode	Trippurpose	Usedrouteplanner	comment
HF25	222	1	1	01.07.2013	06:00:00	06:45:00	car	work_edu	0	
HF25	222	2	2	01.07.2013	15:00:00	15:35:00	car	home	1	
HF25	222	3	3	01.07.2013	15:45:00	15:55:00	car	recreation	0	Donauinsel mit Hund
HF25	222	4	4	01.07.2013	18:50:00	19:00:00	car	home	0	
HF25	222	5	5	02.07.2013	06:05:00	NA	car	work_edu	1	Routen zu Hause
HF25	222	6	6	02.07.2013	15:05:00	15:40:00	car	home	0	
HF25	222	7	7	02.07.2013	15:55:00	16:05:00	car	recreation	0	
HF25	222	8	8	02.07.2013	18:45:00	19:00:00	car	home	0	
HF25	222	9	9	03.07.2013	06:00:00	06:50:00	car	work_edu	0	
HF25	222	10	10	03.07.2013	14:50:00	15:25:00	car	home	0	
HF25	222	11	11	03.07.2013	15:40:00	15:55:00	car	recreation	0	
HF25	222	12	12	03.07.2013	20:15:00	20:35:00	car	home	0	
HF25	222	13	13	04.07.2013	06:05:00	06:40:00	car	work_edu	1	
HF25	222	14	14	04.07.2013	14:40:00	15:25:00	car	home	0	
HF25	222	15	15	04.07.2013	15:35:00	16:05:00	bus	recreation	0	
HF25	222	16	16	04.07.2013	16:25:00	16:50:00	walk	other	0	Fusspflege
HF25	222	17	17	04.07.2013	17:40:00	17:50:00	walk	home	0	
HF25	222	18	18	05.07.2013	06:00:00	06:35:00	car	work_edu	0	
HF25	222	19	19	05.07.2013	12:00:00	12:35:00	car	home	0	
HF25	222	20	20	05.07.2013	12:50:00	13:00:00	car	recreation	0	
HF25	222	21	21	05.07.2013	18:50:00	19:00:00	car	home	0	
HF25	222	22	22	06.07.2013	11:10:00	11:20:00	car	recreation	0	
HF25	222	23	23	06.07.2013	20:10:00	20:30:00	car	home	0	
HF25	222	24	24	07.07.2013	10:20:00	10:35:00	car	recreation	0	
HF25	222	25	25	07.07.2013	18:50:00	19:00:00	car	home	0	
HF25	222	26	26	08.07.2013	06:00:00	06:40:00	car	work_edu	0	
HF25	222	27	27	08.07.2013	14:45:00	15:20:00	car	home	0	
HF25	222	28	28	08.07.2013	15:35:00	15:45:00	car	recreation	0	
HF25	222	29	29	08.07.2013	18:45:00	19:00:00	car	home	0	
HF25	222	30	30	09.07.2013	06:10:00	06:45:00	car	work_edu	0	
HF25	222	31	31	09.07.2013	15:10:00	15:50:00	car	home	0	
HF25	222	32	32	09.07.2013	16:05:00	16:15:00	car	recreation	0	
HF25	222	33	33	09.07.2013	20:15:00	20:20:00	car	home	0	
HF25	222	34	34	10.07.2013	06:05:00	06:35:00	car	work_edu	0	
HF25	222	35	35	10.07.2013	14:50:00	15:35:00	car	home	0	
HF25	222	36	36	10.07.2013	15:45:00	15:55:00	car	recreation	0	
HF25	222	37	37	10.07.2013	20:05:00	20:30:00	car	home	0	
AR23	5	38	1	25.06.2013	08:05:00	08:19:00	tram	mtp	1	
AR23	5	38	1	25.06.2013	08:20:00	08:34:00	bus	mtp	1	
AR23	5	38	1	25.06.2013	08:35:00	08:40:00	walk	other	1	wakk (wukk?)
AR23	5	39	2	25.06.2013	09:25:00	10:09:00	metro	work_edu	0	
AR23	5	40	3	25.06.2013	18:25:00	18:36:00	bus	mtp	0	
AR23	5	40	3	25.06.2013	18:37:00	18:50:00	metro	mtp	0	
AR23	5	40	3	25.06.2013	18:50:00	19:00:00	walk	home	0	LM: Bus, Metro, Tram, Walk (Tram fehlt)
AR23	5	41	4	26.06.2013	07:38:00	08:14:00	bike	work_edu	1	
AR23	5	42	5	26.06.2013	14:10:00	14:50:00	bike	home	1	LM: next entry was durchgestrichen
AR23	5	43	6	27.06.2013	07:20:00	07:29:00	tram	mtp	1	
AR23	5	43	6	27.06.2013	07:30:00	07:35:00	tram	mtp	1	
AR23	5	43	6	27.06.2013	07:52:00	08:14:00	rail	mtp	1	LM: guessing that one time given is leaving tram, next start rail -> check with gps or s.th.
AR23	5	43	6	27.06.2013	08:14:00	08:24:00	walk	work_edu	1	
AR23	5	44	7	27.06.2013	15:00:00	15:39:00	metro	mtp	1	
AR23	5	44	7	27.06.2013	15:40:00	15:50:00	tram	home	1	
AR23	5	45	8	28.06.2013	07:03:00	07:06:00	tram	mtp	1	
